payment_id,expected_order_id,expected_settlement_exists,true_status,exception_type
pay_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,ORD00033,True,exception,duplicate_settlement
pay_ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,ORD00034,True,matched,none
pay_10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,ORD00035,True,matched,none
pay_9132b63e-f162-47e4-a9c3-49e03602f8ac,ORD00036,True,matched,none
pay_366eb16f-508e-4ad7-b7c9-3acfe059a0ee,ORD00037,True,matched,none
pay_e27a984d-6548-41d0-bfcd-9eb1a7cad415,ORD00038,True,matched,none
pay_24933b83-7577-40a9-a491-f0b2ea1fca65,ORD00039,True,matched,none
pay_beb79919-3f22-4af8-a3be-d01d43cf2fde,ORD00040,True,matched,none
pay_bf3c4c06-4343-48bc-89fa-6a688fb5d27b,ORD00041,True,matched,none
pay_956269f0-e5d7-4875-adad-d6c795a76d79,ORD00042,True,exception,settlement_delay
pay_ff50bde4-3825-47b8-9cab-cc97663f1c97,ORD00043,True,matched,none
pay_7e570ddf-8270-40a8-a369-b584ff5e9ff0,ORD00044,True,exception,duplicate_settlement
pay_dc713d96-0c0f-4195-817a-f08a1745d6d8,ORD00045,True,matched,none
pay_28f49481-a0a0-4dc4-a720-9bdf1c11f735,ORD00046,True,matched,none
pay_98ae4334-6c12-4ce8-ae34-0454cac5b68c,ORD00047,True,matched,none
pay_988c24c9-61b1-4d22-a280-1c4510435a10,ORD00048,True,matched,none
pay_405cacec-8774-49a9-b7d2-1e02ff01cf99,ORD00049,True,matched,none
pay_f143262f-dc5c-4eed-8da0-365bf89897b9,ORD00050,True,matched,none
pay_1d53434b-b881-49b9-ae27-0da702f06b90,ORD00051,True,exception,duplicate_settlement
pay_c0398710-8976-4334-a281-7efdae849217,ORD00052,True,matched,none
pay_5715bd6f-a416-4293-84c2-e2e3444ea7c8,ORD00053,True,matched,none
pay_287d06ca-6f4c-469a-8b22-d3081c8eaee9,ORD00054,True,matched,none
pay_b8db0672-f42d-47cc-80d4-af5974273ca3,ORD00055,True,matched,none
pay_f8cda88b-436d-46e2-b83c-fe0be037e5ed,ORD00056,True,matched,none
pay_81f76d1c-2dbc-4134-830f-f46e8026695f,ORD00057,True,matched,none
pay_a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,ORD00058,True,matched,none
pay_81f631d4-a392-41a7-9777-a4774c66e0a8,ORD00059,True,matched,none
pay_5fb8d16c-2720-497d-b2eb-d6899be578c7,ORD00060,True,matched,none
pay_f4188f3f-8a14-4e62-a95b-4715c333e861,ORD00061,True,matched,none
pay_eb2263dd-87c5-421e-ac24-a3c5c754108f,ORD00062,True,matched,none
pay_7d154385-52fb-443b-9954-6eb400257ad1,ORD00063,True,matched,none
pay_5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,ORD00064,True,matched,none
pay_ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,ORD00065,True,matched,none
pay_3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,ORD00066,True,matched,none
pay_14296c07-f26b-4776-913e-4de2e0c53cb8,ORD00067,True,matched,none
pay_d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,ORD00068,True,matched,none
pay_885f6e66-c2b6-42c5-ba5d-310011b7e948,ORD00069,True,matched,none
pay_a8e56e0c-20de-435d-a031-d750c40db9b4,ORD00070,True,matched,none
pay_2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,ORD00071,True,matched,none
pay_9b49bd26-df57-459a-8715-a10343dac043,ORD00072,True,exception,amount_mismatch
pay_edcd465e-3638-4821-b6e0-7cc06c52c49f,ORD00073,True,exception,duplicate_settlement
pay_b09b2a5c-badc-432a-8159-0f538a0f4efb,ORD00074,True,exception,amount_mismatch
pay_66245bfa-4fcc-439a-b683-d2e6337ea2df,ORD00075,True,matched,none
pay_5f987c71-a65e-488e-abf3-ad39fec21bbe,ORD00076,True,matched,none
pay_7394988f-847f-49b4-a64d-1bcb702753a1,ORD00077,True,matched,none
pay_1064005c-3985-43cf-bf76-be1d1efa2197,ORD00078,True,exception,missing_settlement
pay_8dcdcd03-969b-4662-8562-8059568cc69b,ORD00079,True,matched,none
pay_01d74256-3860-4ab6-96a4-02f23ae8cc93,ORD00080,True,matched,none
pay_0f1259e0-a18f-46b6-b535-106e122c9a56,ORD00081,True,exception,missing_settlement
pay_080aadfb-e7c9-4b26-9141-25c63a9bedd4,ORD00082,True,matched,none
pay_839fbc50-1223-4513-9496-f63cdc1110c1,ORD00083,True,matched,none
pay_7c441fe7-ab42-40a7-874a-493b3ceddf2d,ORD00084,True,matched,none
pay_b92da22b-21df-406f-8a0b-3c3336d8393a,ORD00085,True,matched,none
pay_93829b43-922f-415a-a1e3-db63ef7ddc76,ORD00086,True,matched,none
pay_7914c120-c8dc-419f-be35-11287900f7f9,ORD00087,True,matched,none
pay_1825bc54-30be-445f-a835-14f2ceb81f9d,ORD00088,True,matched,none
pay_5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,ORD00089,True,matched,none
pay_dd2467ac-778e-4db3-a93d-ffbc6c6fa611,ORD00090,True,exception,amount_mismatch
pay_a748dbcf-ac61-4e63-8dde-29a6baa4b71a,ORD00091,True,matched,none
pay_0f844fef-1931-49ee-a56c-0941fbf24050,ORD00092,True,matched,none
pay_ccf3a171-56dc-4907-ba6c-34ab6712303a,ORD00093,True,matched,none
pay_310c0c00-3fa7-4104-9bf9-0e27dc96925e,ORD00094,True,matched,none
pay_23e2fcb4-72d8-467d-894a-05e430b187ef,ORD00095,True,matched,none
pay_766ecb15-474e-4c19-aef9-12766c006f61,ORD00096,True,matched,none
pay_134c6c92-ec5b-427c-9fde-4fbf3ff350bf,ORD00097,True,matched,none
pay_db20a56e-dc81-4fe7-8eda-8bbb71710434,ORD00098,True,matched,none
pay_a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,ORD00099,True,matched,none
pay_03c72ba8-d605-4770-8a63-f881ffd0f9d5,ORD00100,True,exception,missing_settlement
pay_c0e9ab30-ed26-42e9-97e0-11b7f8102383,ORD00101,True,matched,none
pay_680ac07a-2a93-4d62-bc83-5dc0d9441fa5,ORD00102,True,matched,none
pay_dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,ORD00103,True,matched,none
pay_2a25a888-0f02-4ad0-a706-7ef466aa9385,ORD00104,True,matched,none
pay_63f2ae24-fc3d-4348-808d-4127610461e3,ORD00105,True,matched,none
pay_c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,ORD00106,True,matched,none
pay_b253d218-6c4a-47ea-8906-17f2747b6dba,ORD00107,True,matched,none
pay_c88a618e-fed4-457d-bb02-6576f512c4c3,ORD00108,True,matched,none
pay_7c967f79-b7e9-4aca-a970-65e18e46d534,ORD00109,True,matched,none
pay_37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,ORD00110,True,exception,settlement_delay
pay_bc594585-9445-48c0-8ef8-c2d6f7fd5646,ORD00111,True,exception,settlement_delay
pay_504867ba-bf7b-439b-8f9a-ea4b8acd4e10,ORD00112,True,exception,amount_mismatch
pay_7a0ecfea-958c-49ba-8cd6-20c20ea2622b,ORD00113,True,matched,none
pay_87f7e1fb-da4b-49ca-ab5c-f46780bacd64,ORD00114,True,exception,amount_mismatch
pay_82010c62-f5f5-4b22-8e8f-a8e0284d82e5,ORD00115,True,matched,none
pay_118a9d29-2f92-4996-99f1-95d014822f53,ORD00116,True,exception,duplicate_settlement
pay_dca02eec-acda-4acc-9165-e21098543881,ORD00117,True,matched,none
pay_f10c718b-1eb0-438a-a75d-d5af3c365296,ORD00118,True,matched,none
pay_94340a03-3f07-4814-91d6-3f78e3e9de99,ORD00119,True,matched,none
pay_14fcdd54-9e8f-4965-8a2c-827e98326856,ORD00120,True,exception,amount_mismatch
pay_90b2b633-956b-4c0c-a849-9b926b5252e3,ORD00121,True,matched,none
pay_42c18a62-ef48-48d5-90fd-9d3f85d51695,ORD00122,True,exception,amount_mismatch
pay_506e5a9a-b758-488d-ab73-295b344a54b8,ORD00123,True,matched,none
pay_21813d25-6552-48a6-83ff-50113d1a85dd,ORD00124,True,matched,none
pay_750cab75-4ccc-4bc2-a53f-8a28abf3e3fc,ORD00125,True,exception,missing_settlement
pay_ef8c485b-c07a-40f2-add4-253b50f0fd0a,ORD00126,True,exception,settlement_delay
pay_9f044aed-7552-4327-8262-7f7312922f83,ORD00127,True,matched,none
pay_19985f15-ff00-4d4d-9020-59e4ff9ab5c2,ORD00128,True,matched,none
pay_8181a8cc-3691-47eb-89a2-688b12c136e0,ORD00129,True,matched,none
pay_5958a499-eeea-463e-a1e8-ac6843e42caf,ORD00130,True,matched,none
pay_3e896c64-e117-4ac3-919c-4ea3e1805081,ORD00131,True,exception,settlement_delay
pay_702cdd20-2862-48b8-88f4-ef125e9953d2,ORD00132,True,matched,none
pay_4d71c366-b41b-4143-8b10-550cd5704f32,ORD00133,True,exception,missing_settlement
pay_ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,ORD00134,True,matched,none
pay_aaf91531-0200-41f0-8768-a84fa76afde6,ORD00135,True,matched,none
pay_ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,ORD00136,True,matched,none
pay_e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,ORD00137,True,matched,none
pay_e3c43657-1d8c-4bac-83b4-09ef2260e70f,ORD00138,True,matched,none
pay_27cb6f2a-8da0-4097-be0f-051b1b66b5a9,ORD00139,True,matched,none
pay_35ebd32d-9ad6-40ab-8821-2ddb45b89cd9,ORD00140,True,exception,duplicate_settlement
pay_afffcfd2-341e-440b-97c7-00aab7b56ea7,ORD00141,True,exception,amount_mismatch
pay_81627cf1-4394-42e6-9a58-7e8aa25d6b29,ORD00142,True,matched,none
pay_e87d1c78-e7c4-41c7-8049-7b717d106c60,ORD00143,True,matched,none
pay_a2607723-17a0-4f49-8d01-280fd89a40c0,ORD00144,True,matched,none
pay_0b49452d-46d4-43f3-9450-281c6c6f7633,ORD00145,True,matched,none
pay_217d65a0-c568-41cd-9563-f61600e85ece,ORD00146,True,matched,none
pay_295d6fbf-430f-401d-bad4-09e2a319dcb4,ORD00147,True,exception,duplicate_settlement
pay_b4a69f3c-8d3a-4d99-b11c-21c9bdc14f1f,ORD00148,True,matched,none
pay_1ca3c448-0279-46a6-8f97-97b06d7ce3c9,ORD00149,True,exception,amount_mismatch
pay_b0e6a969-e213-42b0-b1ee-dba313432e61,ORD00150,True,matched,none
pay_093923de-8bab-4e3b-a628-6bfbe767dcea,ORD00151,True,matched,none
pay_8d7248e2-951f-48d0-9e84-f058d5a804eb,ORD00152,True,matched,none
pay_0ab54bde-20a0-4502-ae06-809725e97977,ORD00153,True,matched,none
pay_eededb07-e623-4689-9d59-cd2a4eea04e7,ORD00154,True,exception,amount_mismatch
pay_0a368ce7-dc57-4131-b8e1-daa7cbceabde,ORD00155,True,exception,amount_mismatch
pay_ae9bec36-35c7-436c-9b99-62c6e61fecc0,ORD00156,True,matched,none
pay_5a8aaeca-1a50-4ec3-aabc-25fa3fe12e47,ORD00157,True,matched,none
pay_dfed2c43-e256-46dc-8f54-86b7c7b5b2bc,ORD00158,True,matched,none
pay_bfddc3d9-9ee3-4c2a-b94d-62046808593f,ORD00159,True,matched,none
pay_3c9ad14c-ee0c-4eb5-acfe-db992790cebd,ORD00160,True,matched,none
pay_ccc56569-f9e8-4369-a999-b735dd56cc94,ORD00161,True,matched,none
pay_698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,ORD00162,True,matched,none
pay_ecab3301-bc8f-4d29-adea-94930658663a,ORD00163,True,matched,none
pay_696608aa-ee49-4329-884a-7b28550a1b46,ORD00164,True,exception,amount_mismatch
pay_bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,ORD00165,True,exception,amount_mismatch
pay_28c13091-444d-410b-bf87-e362cf8d446a,ORD00166,True,exception,settlement_delay
pay_61ee411a-1bac-47a7-b386-f7a4c991603f,ORD00167,True,matched,none
pay_787f2425-dbcc-4477-89e9-db0adf465290,ORD00168,True,matched,none
pay_eb1fa9f2-d10b-41d0-b317-347038f16a81,ORD00169,True,exception,missing_settlement
pay_d20eac17-4e20-4d1a-9983-36e375d66ed4,ORD00170,True,matched,none
pay_39118497-3a43-42ba-9f0f-06cbcb9bc326,ORD00171,True,matched,none
pay_6601ddd0-3170-4437-a8f7-ef5a060edf5b,ORD00172,True,matched,none
pay_11c58ef0-dd46-4c09-8752-87aa5408f9ac,ORD00173,True,matched,none
pay_59e4b671-4774-4c58-85f8-bc16f7860b50,ORD00174,True,matched,none
pay_adf4e62d-6651-429e-8268-690ba43825b5,ORD00175,True,matched,none
pay_54c63cd8-8945-4f27-97fa-2d8dfb2ca025,ORD00176,True,matched,none
pay_e08596db-1d87-4966-8710-d430f071d879,ORD00177,True,matched,none
pay_94a1875d-2db6-4edb-82de-ffccf86c2ca2,ORD00178,True,matched,none
pay_09cb3942-43f5-4a85-bbc9-f87af668a617,ORD00179,True,exception,missing_settlement
pay_587ef344-6f3f-420c-98b8-e4cc1bc044fc,ORD00180,True,matched,none
pay_6fb78271-504d-481f-8953-5b63ba81edd9,ORD00181,True,matched,none
pay_1d9af659-82ec-4f2d-bbf6-e16f9b3080d5,ORD00182,True,matched,none
pay_30a900ad-939b-462d-a645-f129629c2ae3,ORD00183,True,matched,none
pay_6fa17735-b572-43d0-8b5c-ea6a41357e8c,ORD00184,True,matched,none
pay_ce777f00-ecf2-4e76-8519-7ff4006ed6e3,ORD00185,True,matched,none
pay_f0b5156b-b82c-4074-afd5-dea589d7fd6c,ORD00186,True,exception,settlement_delay
pay_3270e4fa-abae-4f43-bcae-8081bdf070aa,ORD00187,True,matched,none
pay_f2e9702d-11e9-4daa-ae69-81a35d3d9e56,ORD00188,True,matched,none
pay_9f871ce7-5487-4d4f-abb7-a385aa0b7b14,ORD00189,True,matched,none
pay_1fe771d6-d917-4793-a9d3-c2e6505cc686,ORD00190,True,matched,none
pay_81d2c7de-4ce1-4b90-a669-7833b841d0a0,ORD00191,True,matched,none
pay_5380b904-688c-4015-aab9-7e494f2d4796,ORD00192,True,exception,missing_settlement
pay_8dedf9fb-4bb0-4f20-b27c-40266703b636,ORD00193,True,matched,none
pay_aa38d0a1-6ba2-4efe-b11c-6eb62095eef6,ORD00194,True,exception,duplicate_settlement
pay_bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,ORD00195,True,matched,none
pay_91b0e1d9-9d92-42af-ac8d-0e44e71e43a6,ORD00196,True,matched,none
pay_d56f0350-8c45-4ce2-a7f4-8ad54d0b0d1a,ORD00197,True,matched,none
pay_35ce8841-4973-4d6c-8dca-bfb7001a9a8b,ORD00198,True,matched,none
pay_9b4e2c24-9479-41e6-8927-7d9b6e0d2648,ORD00199,True,matched,none
pay_7118e364-7709-4749-927e-ecfaa79ac9aa,ORD00200,True,matched,none
pay_82dc4c8e-36b5-429a-acf5-e81e71316269,ORD00201,True,matched,none
pay_f5b78cc7-e6b3-4944-8b32-3e357922bac2,ORD00202,True,matched,none
pay_a8aa7158-2b70-4525-bc67-f831cbc84759,ORD00203,True,exception,settlement_delay
pay_a9f25336-83f4-49a9-88a6-39d015b52908,ORD00204,True,matched,none
pay_17e8392a-55ce-45db-9e87-e04ca2086977,ORD00205,True,matched,none
pay_3c20592f-c04a-46c4-b3b6-3fe1d1843324,ORD00206,True,matched,none
pay_ce7ae7f6-3982-4cff-8f77-a665ac3c5640,ORD00207,True,matched,none
pay_0bd4a990-0640-4e0f-a5b8-fd4b32fa2de8,ORD00208,True,exception,missing_settlement
pay_9c7c7377-79a2-4903-bbe3-3b243eae0032,ORD00209,True,matched,none
pay_74962764-12a4-4ef0-84bb-b7a9d98868dd,ORD00210,True,matched,none
pay_935f2b0a-a138-4ddc-a2d9-de5d6a18ce4c,ORD00211,True,exception,missing_settlement
pay_624c69b6-b244-45a7-b7e5-848131c681ec,ORD00212,True,exception,amount_mismatch
pay_25c73c44-3e75-43b4-a64f-a6637e8f8095,ORD00213,True,matched,none
pay_e4855aa1-016b-4287-b008-05cca7f36ae9,ORD00214,True,matched,none
pay_e2add909-c521-4f2d-9c45-d539c03f3538,ORD00215,True,matched,none
pay_3805f907-6cd6-4193-8746-8f591b494e15,ORD00216,True,matched,none
pay_b227462c-f53d-4330-8dda-24ba2d06e8cf,ORD00217,True,exception,duplicate_settlement
pay_8eb22579-0cdb-4ca4-b6ec-bdd68498e113,ORD00218,True,matched,none
pay_1f115b76-d92c-4227-aadf-50853fcb7546,ORD00219,True,matched,none
pay_76f2dbfe-cd29-436f-a222-82e174daaebf,ORD00220,True,matched,none
pay_8f15ba58-fce6-4504-87f8-424daae65fc1,ORD00221,True,matched,none
pay_c1581092-f335-4ba3-913a-7052986f9025,ORD00222,True,matched,none
pay_d0a44432-9cd6-4852-b14c-7df4e4347d51,ORD00223,True,matched,none
pay_6d3ee1dc-8139-4443-a45b-712eb8225688,ORD00224,True,matched,none
pay_722764e6-8c41-461b-a827-a1b9d4a02e53,ORD00225,True,matched,none
pay_dc8aee30-be60-43f7-a8be-9288e5af6e39,ORD00226,True,exception,missing_settlement
pay_c074718e-425a-409f-b337-c59979844388,ORD00227,True,exception,duplicate_settlement
pay_46fde062-a33d-47af-9701-410d3f4b1a70,ORD00228,True,matched,none
pay_7c0e8cd8-8573-4793-8715-b2b9c40c5d91,ORD00229,True,matched,none
pay_709b7d97-464c-44af-bd3f-3799a07295e9,ORD00230,True,exception,missing_settlement
pay_3c07c574-4925-4af1-b6aa-e05b13d5f2f7,ORD00231,True,matched,none
pay_e49d681d-51d8-4c64-95fa-1ab8458f1f19,ORD00232,True,matched,none
pay_269cd696-236c-4b87-94a0-bccb8a476a87,ORD00233,True,exception,settlement_delay
pay_271e3ee2-b1a6-41f1-a20e-99d33b33f3d8,ORD00234,True,matched,none
pay_6a34c854-1071-4d51-b6c5-9dacb4d7e28e,ORD00235,True,exception,missing_settlement
pay_7746d0ba-8ae8-405b-94b4-a48268586eba,ORD00236,True,matched,none
pay_d5385b0e-34f3-493c-8ff0-a55c6a702e2f,ORD00237,True,matched,none
pay_c51155ff-e7a3-4e81-a3b4-c08b6b8e869f,ORD00238,True,matched,none
pay_05000bc6-b20d-4b6e-b231-1f1795863a76,ORD00239,True,matched,none
pay_9360715f-c3fe-4183-a172-b725db52ca58,ORD00240,True,matched,none
pay_f1578470-0182-47c4-ba1b-58066160a6b4,ORD00241,True,matched,none
pay_63d62a39-c0e3-4efd-8c71-e0fe5a0cdd7c,ORD00242,True,exception,duplicate_settlement
pay_d5f25073-f414-42b1-a442-9ebbda7b9095,ORD00243,True,matched,none
pay_bc10fa52-bf5d-4fdf-89c8-d2ab6b44fa8d,ORD00244,True,exception,duplicate_settlement
pay_e5d6f6e6-9a6e-42f5-8cc4-29038bcf53a1,ORD00245,True,matched,none
pay_45df16b6-382c-443f-bcfc-9b793875394c,ORD00246,True,matched,none
pay_638c254c-076e-4bba-bc53-08bf6f92f25e,ORD00247,True,matched,none
pay_cc530e36-addc-4e13-ab3b-4d37560c95ee,ORD00248,True,matched,none
pay_d72b6108-2a40-4f12-b963-f37f67814c1f,ORD00249,True,matched,none
pay_fb10987f-20ac-4703-ab67-146a77a6e17c,ORD00250,True,matched,none
pay_e82c7d7b-06e7-45f9-88bc-539c9f4c3b79,ORD00251,True,matched,none
pay_a9ba5a27-907b-4e36-9786-48f864de82e6,ORD00252,True,matched,none
pay_6db99102-a48b-4dbe-957d-94a106f028ff,ORD00253,True,matched,none
pay_2e85cb21-7631-4e9d-9de9-f86322bd3388,ORD00254,True,exception,missing_settlement
pay_53cd6268-610c-4373-8299-9aa40cdf742b,ORD00255,True,matched,none
pay_56666f9f-53ac-4ab9-b467-2cd9362f5e5c,ORD00256,True,matched,none
pay_473bd358-610e-4a64-a130-1617c2dff335,ORD00257,True,matched,none
pay_6bebac31-d4f8-4d72-b382-1cfdc083b73a,ORD00258,True,exception,amount_mismatch
pay_78660765-14f7-4e8d-95bc-b8d04094dded,ORD00259,True,matched,none
pay_0d557b61-8a17-4dfe-bfc0-0dc804f64d86,ORD00260,True,exception,missing_settlement
pay_39669fa7-5997-4043-b3b1-025bfff9f585,ORD00261,True,matched,none
pay_f510ab53-c7fe-439f-9190-f938a66fd7f7,ORD00262,True,matched,none
pay_07f194f9-c115-4d6d-8a4e-5b70a6d964a3,ORD00263,True,matched,none
pay_d6d7b3b8-3309-4d35-bf4d-f561f319c125,ORD00264,True,exception,duplicate_settlement
pay_3d114802-2702-478b-9f0f-da8d05379ff6,ORD00265,True,matched,none
pay_1d48a071-ab61-47b1-b93b-4c3220500494,ORD00266,True,matched,none
pay_770c7798-37cc-463b-b2a0-345990604f62,ORD00267,True,exception,amount_mismatch
pay_5e6fea07-c453-4f1d-8199-2fdfb31022f0,ORD00268,True,matched,none
pay_f6b751f7-9b74-4245-9b1b-c8952af43ab7,ORD00269,True,matched,none
pay_c71d5e60-1d52-46ab-b7e6-427cbf780e3f,ORD00270,True,matched,none
pay_4fa03f26-f6f7-40cc-a9ec-8e49d1bdb8c0,ORD00271,True,matched,none
pay_edcb8cb6-0692-4c63-9424-aed51bac5c15,ORD00272,True,exception,missing_settlement
pay_e87466d7-ad66-41bd-9367-6a024fdc6e1b,ORD00273,True,matched,none
pay_f1043785-658b-4523-a014-1de9f54ad0a2,ORD00274,True,matched,none
pay_9793b9b4-1374-4146-b2c5-bd89b70b3420,ORD00275,True,matched,none
pay_3e2b6091-a092-452a-94a0-57a7b0cc1b3b,ORD00276,True,matched,none
pay_4d3485c5-c5c1-4eb4-b27b-3d901a16342c,ORD00277,True,exception,amount_mismatch
pay_ce3714af-99b4-4350-af2b-99b4d9acd158,ORD00278,True,matched,none
pay_90e0f4a0-fbdd-4933-8bd5-8bf61efd76e9,ORD00279,True,matched,none
pay_8861fe18-58e2-4888-8a83-81bec85aca46,ORD00280,True,matched,none
pay_11a72609-5edd-4bbf-a959-76636daa2e68,ORD00281,True,matched,none
pay_033d2bce-575a-4d2c-a5c5-650c8186a576,ORD00282,True,matched,none
pay_7d7ddbed-d284-476c-ab88-f83dd97dc9cd,ORD00283,True,matched,none
pay_5cb85aed-f5f6-4c97-aefb-63b11b049863,ORD00284,True,matched,none
pay_75b17a55-d426-4982-a43e-4288a2b5b498,ORD00285,True,matched,none
pay_2d174fc9-6f7c-45ea-a72a-6d8eb5122df8,ORD00286,True,exception,amount_mismatch
pay_a6846099-f729-4951-8591-31d2bbda0242,ORD00287,True,matched,none
pay_eb6c1016-cee6-44d0-9dac-6e8345241ea6,ORD00288,True,matched,none
pay_7701f7bb-7bc6-4e1f-864e-e6e389c5b31a,ORD00289,True,exception,missing_settlement
pay_97ac6aa8-bb24-48a3-9363-57b66f81cf4f,ORD00290,True,matched,none
pay_3ed8c56c-da09-4fa0-9282-8d8044b591f7,ORD00291,True,matched,none
pay_4767d76c-162f-4a24-af43-613cd4aac9a3,ORD00292,True,matched,none
pay_c01f36bf-3e6d-458b-b367-c28de1b294de,ORD00293,True,matched,none
pay_ab0e664e-9c3e-42d5-91e1-aa9676f72255,ORD00294,True,matched,none
pay_7e8adee7-0758-4201-961e-16d16105716b,ORD00295,True,exception,amount_mismatch
pay_7cd0129d-2e8d-4e87-9334-20e6d9d80b8d,ORD00296,True,exception,amount_mismatch
pay_4223623b-cc3e-4dde-9ad5-cf06364d7c87,ORD00297,True,matched,none
pay_989d9d4a-e15c-4666-8797-b2c957207246,ORD00298,True,exception,missing_settlement
pay_8e485223-46b9-4991-a14e-b70db380c73a,ORD00299,True,matched,none
pay_30e912f2-f2b4-4abf-8441-aefd0299436a,ORD00300,True,exception,settlement_delay
pay_680bac63-b856-4035-bdc9-829015eabb27,ORD00301,True,matched,none
pay_3d85de89-c217-4429-8e20-07247d137018,ORD00302,True,matched,none
pay_b63b4dc3-a559-4463-b9e1-3ceab0cbc61f,ORD00303,True,exception,amount_mismatch
pay_046a0df5-cafd-4613-b2bb-912d7da67785,ORD00304,True,matched,none
pay_6786d506-38ba-4abc-8b53-05e517d2582e,ORD00305,True,matched,none
pay_a9f948b2-4e63-44bb-be49-3f43b118f68d,ORD00306,True,matched,none
pay_8db06746-7927-4973-9e78-1fd794e0d3ba,ORD00307,True,exception,amount_mismatch
pay_ff233d5f-6ced-415d-9800-7c0287ea7ff5,ORD00308,True,matched,none
pay_5a104129-54ae-4d1b-8ce6-424dbef59fe6,ORD00309,True,exception,missing_settlement
pay_4e7ed827-455a-4762-b428-a656b3ee4d3b,ORD00310,True,matched,none
pay_b8a6171f-1ee3-4dc4-bb04-8a8b405bfdc9,ORD00311,True,matched,none
pay_be2d740a-1e9b-43bc-90c7-c006314d3441,ORD00312,True,matched,none
pay_b0ae8f08-c31e-4bbc-b36c-b62b892e6161,ORD00313,True,matched,none
