settlement_id,payment_id,merchant_reference,customer_id,gross_amount,fee,tax,net_amount,settlement_date,settlement_status
SET_8d244e3e-c4da-4ddb-a0b1-5abaa6a27967,pay_24933b83-7577-40a9-a491-f0b2ea1fca65,ORD00039,CUST0221,5571.49,111.43,20.06,5290.0,2026-03-05 03:08:25,settled
SET_6e191042-370b-4063-9d90-e79eb888f6ed,pay_beb79919-3f22-4af8-a3be-d01d43cf2fde,ORD00040,CUST0203,34056.01,681.12,122.6,33252.29,2026-08-22 14:56:06,settled
SET_69efafb1-3a7e-4e14-a359-eee173991a47,pay_bf3c4c06-4343-48bc-89fa-6a688fb5d27b,ORD00041,CUST0017,19299.89,386.0,69.48,18844.41,2026-08-23 10:04:57,settled
SET_66132e69-7418-4109-93d1-bf0f56c438e4,pay_956269f0-e5d7-4875-adad-d6c795a76d79,ORD00042,CUST0120,26502.81,530.06,95.41,25877.34,2026-08-05 20:26:20,settled
SET_50032b35-1857-4baf-bac7-e2b96a7e4c36,pay_ff50bde4-3825-47b8-9cab-cc97663f1c97,ORD00043,CUST0221,47127.3,942.55,169.66,45865.09,2026-02-17 11:41:58,settled
SET_4140752c-aa44-4259-9001-8b7b6d4067f4,pay_7e570ddf-8270-40a8-a369-b584ff5e9ff0,ORD00044,CUST0175,44250.94,885.02,159.3,43206.62,2026-04-16 14:59:27,settled
SET_afd380c4-2713-482c-b41e-a3ac5fd23109,pay_dc713d96-0c0f-4195-817a-f08a1745d6d8,ORD00045,CUST0197,32083.99,641.68,115.5,31326.81,2026-02-16 07:44:29,settled
SET_6e8f75a1-17dd-4d81-95da-705cd4ef00aa,pay_98ae4334-6c12-4ce8-ae34-0454cac5b68c,ORD00047,CUST0001,47695.41,953.91,171.7,46569.8,2026-04-16 06:57:49,settled
SET_5f65c8ce-bd21-4c11-be9d-61ee18b87245,pay_988c24c9-61b1-4d22-a280-1c4510435a10,ORD00048,CUST0249,25079.25,501.59,90.29,24487.37,2026-03-12 09:09:22,settled
SET_0f5ae9d3-8e6e-4003-a14f-3f12cfd01cbd,pay_405cacec-8774-49a9-b7d2-1e02ff01cf99,ORD00049,CUST0130,45640.13,912.8,164.3,44413.03,2026-04-27 21:42:25,settled
SET_8fca7b6a-8fc4-4092-b4e5-59e596229348,pay_f143262f-dc5c-4eed-8da0-365bf89897b9,ORD00050,CUST0216,31983.58,639.67,115.14,31228.77,2026-08-26 12:00:49,settled
SET_692ac139-1f4a-4ca1-ab85-fd595463adc7,,ORD00051,CUST0051,7726.68,154.53,27.82,7544.33,2026-03-06 17:44:46,settled
SET_f0ede303-aa53-419c-9fa4-bb9f5a856750,pay_c0398710-8976-4334-a281-7efdae849217,ORD00052,CUST0139,47679.64,953.59,171.65,46554.4,2026-07-27 23:15:16,settled
SET_ea74bb18-de3b-496f-ac45-96f6c012a0ff,pay_5715bd6f-a416-4293-84c2-e2e3444ea7c8,ORD00053,CUST0236,128.54,2.57,0.46,125.51,2026-05-08 21:21:12,settled
SET_49a214ae-f7e8-48e5-8d2b-91efb8976ec5,pay_287d06ca-6f4c-469a-8b22-d3081c8eaee9,ORD00054,CUST0126,1071.89,21.44,3.86,1046.59,2026-05-24 23:13:33,settled
SET_1a85910d-5a05-4c11-8ffc-a6b199b479d4,pay_b8db0672-f42d-47cc-80d4-af5974273ca3,ORD00055,CUST0225,49267.54,985.35,177.36,48104.83,2026-05-02 10:14:21,settled
SET_279c658a-3676-4ce5-81e5-c9f693f277cc,pay_f8cda88b-436d-46e2-b83c-fe0be037e5ed,ORD00056,CUST0062,2990.47,59.81,10.77,2919.89,2026-08-10 08:08:59,settled
SET_d8e7012f-3968-4c81-bb70-c3b8a81fdec3,pay_81f76d1c-2dbc-4134-830f-f46e8026695f,ORD00057,CUST0243,4029.98,80.6,14.51,3934.87,2026-07-18 17:45:33,settled
SET_8e676a01-d86a-4460-99a1-120e1bb43332,pay_a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,ORD00058,CUST0209,3553.7,71.07,12.79,3469.84,2026-07-29 21:10:52,settled
SET_47503f1d-c33a-4f6c-9d69-1fba5e187b24,pay_81f631d4-a392-41a7-9777-a4774c66e0a8,ORD00059,CUST0197,6375.45,127.51,22.95,6224.99,2026-07-07 13:57:10,settled
SET_6dda4f8d-cea6-4f4c-b9e5-8ff092f837d4,pay_5fb8d16c-2720-497d-b2eb-d6899be578c7,ORD00060,CUST0243,27535.2,550.7,99.13,26885.37,2026-04-15 22:30:24,settled
SET_c4767556-f97b-42dd-8f9b-72aed85c16bd,settle-pay_f4188f3f-8a14-4e62-a95b-4715c333e861,ORD00061,CUST0136,43634.41,872.69,157.08,42604.64,2026-06-17 07:55:53,settled
SET_accb461a-9d13-4363-9f29-4a8bd1846c39,pay_eb2263dd-87c5-421e-ac24-a3c5c754108f,ORD00062,CUST0247,10668.73,213.37,38.41,10416.95,2026-07-30 10:36:13,settled
SET_9be71737-06b8-4231-8e86-7f3ca487eeab,pay_7d154385-52fb-443b-9954-6eb400257ad1,ORD00063,CUST0194,36523.56,730.47,131.48,35661.61,2026-03-21 02:51:49,settled
SET_b18753e6-d457-4ad9-a867-a096edd877c8,pay_5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,ORD00064,CUST0183,15654.64,313.09,56.36,15285.19,2026-05-27 00:31:52,settled
SET_45f50c52-2e2f-4f77-8769-79d644777442,pay_ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,ORD00065,CUST0113,44990.74,899.81,161.97,43928.96,2026-06-26 08:09:21,settled
SET_ebe9e207-4f19-4ec0-832d-4526b3e4110a,pay_3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,ORD00066,CUST0031,12470.49,249.41,44.89,12176.19,2026-01-28 20:45:52,settled
SET_2e709838-0190-4620-99dc-abd056febfb9,pay_14296c07-f26b-4776-913e-4de2e0c53cb8,ORD00067,CUST0087,1149.61,22.99,4.14,1122.48,2026-08-06 02:55:22,settled
SET_a847bce7-90fa-4b57-a4ac-2130deaf528d,pay_d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,ORD00068,CUST0059,29463.16,589.26,106.07,28767.83,2026-01-05 19:01:24,settled
SET_bdb025ff-2451-45a4-91d0-59b26699cd99,pay_885f6e66-c2b6-42c5-ba5d-310011b7e948,ORD00069,CUST0019,35421.26,708.43,127.52,34585.31,2026-01-26 20:44:35,settled
SET_177d6e7e-07d9-44ce-b8c8-8faea2178f84,pay_a8e56e0c-20de-435d-a031-d750c40db9b4,ORD00070,CUST0059,3463.28,69.27,12.47,3381.54,2026-01-15 04:47:23,settled
SET_604e46cb-3712-42d1-87cd-b6a1bf012e32,pay_2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,ORD00071,CUST0221,16588.38,331.77,59.72,16196.89,2026-07-20 16:16:56,settled
SET_284bf962-5744-4596-b422-21676b7a2460,pay_9b49bd26-df57-459a-8715-a10343dac043,MER-ORD00072,CUST0061,13996.02,279.92,50.39,13665.71,2026-07-11 12:23:27,settled
SET_530ac1c7-b8ba-4368-8fc7-77685ebbcca5,pay_edcd465e-3638-4821-b6e0-7cc06c52c49f,ORD00073,CUST0055,27007.77,540.16,97.23,26370.38,2026-08-13 18:30:26,settled
SET_98a21f1c-914d-4fae-b100-13a7c6deb2f0,pay_b09b2a5c-badc-432a-8159-0f538a0f4efb,ord00074,CUST0148,23686.28,473.73,85.27,23127.28,2026-07-04 16:25:38,settled
SET_27d415b6-0d77-45a0-a222-b6a615bfbe97,,ORD00075,CUST0207,20412.29,408.25,73.48,19930.56,2026-02-08 15:10:48,settled
SET_0cbd3c03-9e2a-44ac-8122-b5b3284c03d2,pay_5f987c71-a65e-488e-abf3-ad39fec21bbe,ORD00076,CUST0025,32983.24,659.66,118.74,32204.84,2026-05-21 14:17:33,settled
SET_716fda0a-45a8-4829-94e2-86e5ac8936bc,pay_7394988f-847f-49b4-a64d-1bcb702753a1,ORD00077,CUST0109,20614.0,412.28,74.21,20127.51,2026-01-24 00:54:43,settled
SET_9b69554d-7c54-435f-ac8c-3b6aa974d079,pay_1064005c-3985-43cf-bf76-be1d1efa2197,ORD00078,CUST0173,32707.43,654.15,117.75,31935.53,2026-02-09 05:19:15,settled
SET_585d3f86-1d23-44e6-8329-20b7c143f426,pay_01d74256-3860-4ab6-96a4-02f23ae8cc93,ORD00080,CUST0205,43097.46,861.95,155.15,42080.36,2026-04-10 13:38:42,settled
SET_86e52753-7c93-46cc-97d7-a560adb14670,pay_080aadfb-e7c9-4b26-9141-25c63a9bedd4,ORD00082,CUST0036,21151.89,423.04,76.15,20652.7,2026-04-21 04:13:44,settled
SET_3873e57f-0ba0-48e8-8ef4-92c1aac93316,pay_839fbc50-1223-4513-9496-f63cdc1110c1,ORD00083,CUST0119,12565.34,251.31,45.24,12268.79,2026-02-02 06:38:17,settled
SET_0e0630cd-996d-4c50-bc04-a168652ffb49,pay_7c441fe7-ab42-40a7-874a-493b3ceddf2d,ORD00084,CUST0114,40420.31,808.41,145.51,39466.39,2026-08-04 17:24:13,settled
SET_f200c261-4d29-41ab-b455-12f701f7c7ec,pay_b92da22b-21df-406f-8a0b-3c3336d8393a,ORD00085,CUST0026,2624.36,52.49,9.45,2562.42,2026-08-01 22:38:41,settled
SET_c3a00c6f-2321-41e1-8471-04c036136e15,pay_93829b43-922f-415a-a1e3-db63ef7ddc76,ORD00086,CUST0215,836.42,16.73,3.01,816.68,2026-02-09 05:16:19,settled
SET_1eb74b56-53ff-43a2-8a19-35014169b9fc,pay_7914c120-c8dc-419f-be35-11287900f7f9,ORD00087,CUST0238,37702.92,754.06,135.73,36813.13,2026-04-05 19:12:59,settled
SET_6e3f683a-bf3c-4140-bf54-a51101fa964e,pay_1825bc54-30be-445f-a835-14f2ceb81f9d,ORD00088,CUST0043,20380.06,407.6,73.37,19749.09,2026-07-08 22:35:08,settled
SET_88575117-6155-4667-a112-507c2cfa55b0,pay_5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,ORD00089,CUST0055,43246.05,864.92,155.69,42225.44,2026-01-26 18:31:17,settled
SET_8f0881ee-8011-416b-bae8-8926b423ccde,pay_dd2467ac-778e-4db3-a93d-ffbc6c6fa611,ORD 00090,CUST0043,19010.76,380.22,68.44,18562.1,2026-06-04 14:59:40,settled
SET_5aaab32f-ce63-42b6-ab05-347fd556b37d,pay_a748dbcf-ac61-4e63-8dde-29a6baa4b71a,ORD00091,CUST0068,46333.25,926.66,166.8,45239.79,2026-06-28 16:59:07,settled
SET_bdf66ba5-dc9c-46de-a5a6-74c212738a23,pay_0f844fef-1931-49ee-a56c-0941fbf24050,ORD00092,CUST0074,21208.07,424.16,76.35,20557.56,2026-08-06 20:08:10,settled
SET_5024bdc6-dcb3-4df3-93ee-cdc6ebd14d2c,pay_310c0c00-3fa7-4104-9bf9-0e27dc96925e,ORD00094,CUST0049,14905.72,298.11,53.66,14553.95,2026-01-25 17:06:13,settled
SET_67884209-92ca-425a-ade5-93329364f3d0,pay_23e2fcb4-72d8-467d-894a-05e430b187ef,ORD00095,CUST0149,36813.29,736.27,132.53,35944.49,2026-01-26 16:09:56,settled
SET_4a1dab32-6aed-4dc7-a3e0-5309b5a1b949,pay_766ecb15-474e-4c19-aef9-12766c006f61,ORD00096,CUST0192,15748.88,314.98,56.7,15377.2,2026-01-23 11:21:37,settled
SET_f758dce2-0556-4aea-a7b0-32831d7c0098,pay_134c6c92-ec5b-427c-9fde-4fbf3ff350bf,ORD00097,CUST0150,23891.75,477.84,86.01,23327.9,2026-07-27 06:27:15,settled
SET_f296d9f0-cd23-42c2-abff-e17b532401fc,pay_d56ce8ea-1959-4b5a-a7a8-f6366a35df59,ORD00098,CUST0041,2938.29,58.77,10.58,2868.94,2026-01-30 07:49:12,settled
SET_b08a4895-d4ff-4666-b5c8-e90d9e3d750d,pay_a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,ORD00099,CUST0021,42581.99,851.64,153.3,41577.05,2026-01-30 14:39:54,settled
SET_6fcc57dd-168f-4e12-9ca2-60c9eb7607c9,pay_03c72ba8-d605-4770-8a63-f881ffd0f9d5,ORD00100,CUST0153,3491.25,69.83,12.57,3408.85,2026-04-04 08:15:33,settled
SET_6f887f28-3e49-4d09-9b19-d8b8d8302081,pay_c0e9ab30-ed26-42e9-97e0-11b7f8102383,ORD00101,CUST0104,6082.34,121.65,21.9,5938.79,2026-08-13 05:45:34,settled
SET_1422373f-8622-48d1-a683-e10796c044d0,pay_680ac07a-2a93-4d62-bc83-5dc0d9441fa5,ORD00102,CUST0064,28988.06,579.76,104.36,28303.94,2026-01-19 10:25:08,settled
SET_beed10b6-4f6e-474b-9eda-b0276550f74a,pay_dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,ORD00103,CUST0159,4190.97,83.82,15.09,4092.06,2026-08-18 16:13:12,settled
SET_c77444cb-5543-4c3c-b8b8-f24e56ea57b3,pay_2a25a888-0f02-4ad0-a706-7ef466aa9385,ORD00104,CUST0145,26186.86,523.74,94.27,25568.85,2026-04-13 06:30:44,settled
SET_a21b0307-82af-485c-938d-994c2b0abedd,pay_2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,ORD00105,CUST0053,33519.33,670.39,120.67,32728.27,2026-05-06 00:24:21,settled
SET_31a3ac4d-828c-47e7-87d5-b7be1d30d990,pay_c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,ORD00106,CUST0062,13354.16,267.08,48.07,13039.01,2026-02-22 19:52:26,settled
SET_59e1ac09-5970-4859-86b6-e4ade7ea8d5a,pay_0ab54bde-20a0-4502-ae06-809725e97977,ORD00107,CUST0172,32310.49,646.21,116.32,31547.96,2026-06-28 18:25:40,settled
SET_a53bc024-d1a6-4d87-b54e-2019ba35844e,pay_c88a618e-fed4-457d-bb02-6576f512c4c3,ORD00108,CUST0081,46458.01,929.16,167.25,45361.6,2026-02-01 04:09:03,settled
SET_1a5165ca-3c7c-4d85-a5cf-0041d0a643fe,settle-pay_7c967f79-b7e9-4aca-a970-65e18e46d534,ORD00109,CUST0003,22968.45,459.37,82.69,22426.39,2026-08-10 15:28:51,settled
SET_2c6a6e9a-3280-47a1-8187-222b257d5e52,pay_37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,ORD00110,CUST0026,3755.71,75.11,13.52,3667.08,2026-03-27 18:44:31,settled
SET_c257cf73-c29d-482b-a722-796e9a36d1ec,pay_bc594585-9445-48c0-8ef8-c2d6f7fd5646,ORD00111,CUST0130,13333.5,266.67,48.0,13018.83,2026-05-17 12:59:53,settled
SET_f387e1bd-2d59-42c6-934a-5a2fa7cf705c,pay_504867ba-bf7b-439b-8f9a-ea4b8acd4e10,MER-ORD00112,CUST0226,3532.69,70.65,12.72,3449.32,2026-04-08 20:53:44,settled
SET_76c5a0dc-7e7e-4419-a0c1-4035c5d95f51,pay_7a0ecfea-958c-49ba-8cd6-20c20ea2622b,ORD00113,CUST0095,14320.87,286.42,51.56,13982.89,2026-06-21 04:10:34,settled
SET_9458054e-c287-4f06-9050-f7efc1235c91,settle-pay_87f7e1fb-da4b-49ca-ab5c-f46780bacd64,ORD-00114,CUST0214,27206.58,544.13,97.94,26564.51,2026-05-01 11:39:50,settled
SET_e1cde87f-ec95-4f87-ae5e-c36572eb7474,pay_82010c62-f5f5-4b22-8e8f-a8e0284d82e5,ORD00115,CUST0157,49194.28,983.89,177.1,48033.29,2026-07-27 10:05:04,settled
SET_fc8d5b93-a2a2-491f-a49b-1cd99082889b,pay_118a9d29-2f92-4996-99f1-95d014822f53,ORD00116,CUST0003,33426.37,668.53,120.34,32637.5,2026-08-14 09:16:04,settled
SET_70944bdb-26a5-44e3-90ee-7a92a09151e0,pay_f10c718b-1eb0-438a-a75d-d5af3c365296,ORD00118,CUST0241,43918.54,878.37,158.11,42732.06,2026-04-16 17:00:03,settled
SET_a1a27485-7134-4c2a-b80b-3657117b355b,pay_94340a03-3f07-4814-91d6-3f78e3e9de99,ORD00119,CUST0030,44496.66,889.93,160.19,43446.54,2026-08-06 20:25:05,settled
SET_97674900-4651-4367-8bdc-43184d85a3d2,pay_14fcdd54-9e8f-4965-8a2c-827e98326856,ord00120,CUST0040,13690.18,273.8,49.28,13367.1,2026-08-26 21:25:21,settled
SET_12fe28bf-81e0-4489-9a18-e2a30e614bcd,pay_90b2b633-956b-4c0c-a849-9b926b5252e3,ORD00121,CUST0054,35908.85,718.18,129.27,35061.4,2026-03-23 01:39:52,settled
SET_09a0a0f6-73b0-4091-b634-c1694f76e388,pay_42c18a62-ef48-48d5-90fd-9d3f85d51695,ORD 00122,CUST0176,31748.47,634.97,114.29,30999.21,2026-04-14 12:30:29,settled
SET_497de16d-d4ea-420a-9e65-96540e9058b6,,ORD00123,CUST0130,24477.74,489.55,88.12,23900.07,2026-01-23 17:28:48,settled
SET_fa34d2e8-dd3f-4d7e-a508-dc9513a4a492,pay_21813d25-6552-48a6-83ff-50113d1a85dd,ORD00124,CUST0024,31750.79,635.02,114.3,31001.47,2026-04-19 10:50:47,settled
SET_98159d6c-9d71-4084-971d-abf9daf481a7,,ORD00125,CUST0012,276.93,5.54,1.0,270.39,2026-02-21 19:19:39,settled
SET_949077c2-7674-456f-a26d-719d81cf3252,pay_ef8c485b-c07a-40f2-add4-253b50f0fd0a,ORD00126,CUST0164,48991.92,979.84,176.37,47835.71,2026-03-07 18:03:11,settled
SET_bd29ede9-cab4-423b-b448-83858de7ad6c,pay_9f044aed-7552-4327-8262-7f7312922f83,ORD00127,CUST0190,22147.59,442.95,79.73,21624.91,2026-06-19 02:19:51,settled
SET_e8b77f7b-7321-4f6b-8a80-76ece5582e16,pay_19985f15-ff00-4d4d-9020-59e4ff9ab5c2,ORD00128,CUST0144,582.52,11.65,2.1,568.77,2026-01-31 05:19:24,settled
SET_30307633-a6de-41d8-9258-17b7cf501889,pay_8181a8cc-3691-47eb-89a2-688b12c136e0,ORD00129,CUST0242,44167.01,883.34,159.0,43124.67,2026-02-28 21:17:11,settled
SET_80599b93-79c2-42e4-9ae1-a991524f93ff,pay_5958a499-eeea-463e-a1e8-ac6843e42caf,ORD00130,CUST0140,1897.8,37.96,6.83,1853.01,2026-05-25 09:20:32,settled
SET_73557b9d-0fd6-447e-b52d-4af2269ed4c9,pay_3e896c64-e117-4ac3-919c-4ea3e1805081,ORD00131,CUST0150,27671.0,553.42,99.62,27017.96,2026-06-18 21:54:09,settled
SET_d65e59dd-e62d-4d06-8f9b-85581a7f195b,pay_702cdd20-2862-48b8-88f4-ef125e9953d2,ORD00132,CUST0033,2187.26,43.75,7.88,2135.63,2026-05-24 14:47:54,settled
SET_15969802-b6dd-4257-bb7d-9f1c57eb89b1,pay_4d71c366-b41b-4143-8b10-550cd5704f32,ORD00133,CUST0231,46661.09,933.22,167.98,45559.89,2026-01-18 11:50:49,settled
SET_0a0537f0-2c2c-422b-a568-95c6812a1f9b,settle-pay_ce9e1a11-fcbb-4e59-bbdd-cf7c9c96e9ec,ORD00134,CUST0231,17954.68,359.09,64.64,17530.95,2026-04-08 21:47:08,settled
SET_9c1c3517-85d2-40a6-8629-5b5d707df251,pay_ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,ORD00136,CUST0227,43748.16,874.96,157.49,42715.71,2026-09-02 00:59:04,settled
SET_eafde7d9-5f73-4a3e-9d28-6aa428a39779,pay_e0ccedc5-f05d-476e-9a84-a51aa9d3d7c7,ORD00137,CUST0192,7812.21,156.24,28.12,7627.85,2026-04-03 22:33:06,settled
SET_c6435300-68a5-4c68-a32d-bb5e486bb6bf,pay_e3c43657-1d8c-4bac-83b4-09ef2260e70f,ORD00138,CUST0222,8208.84,164.18,29.55,8015.11,2026-03-12 18:14:51,settled
