payment_id,order_id,settlement_id,status,exception_type,payment_amount,settlement_amount,difference_amount,confidence,explanation
pay_aefcfad8-efc8-4849-b3aa-7efe4458a885,ORD00027,SET_a4b1f991-7542-4646-8d37-a539857dd3b3,MATCHED,none,13570.4,13570.4,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_a28defe3-9bf0-4273-9247-6f57a5e5a5ab,ORD00028,SET_ffa361be-0f92-40e1-87f9-7d05f6ca6b8b,MATCHED,none,34262.25,34262.25,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_3eabedcb-baa8-4dd4-88bd-64072bcfbe01,ORD00029,"SET_6d204496-66d0-4371-98e8-8ebb7a9e8eef, SET_f4d375c1-a293-49fa-b240-d7a14027ab7d",EXCEPTION,duplicate_settlement,41107.95,,,1.0,"Multiple settlements found: SET_6d204496-66d0-4371-98e8-8ebb7a9e8eef, SET_f4d375c1-a293-49fa-b240-d7a14027ab7d"
pay_451b4cf3-6123-4df7-b656-af7229d4beef,ORD00030,SET_b65feea9-7d82-4264-9ba3-62e7afa415e5,MATCHED,none,13460.27,13460.27,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,ORD00031,SET_e63658c9-12d0-498d-b18d-4d05e8e22743,MATCHED,none,47151.19,47151.19,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_5304317f-af42-412f-b838-b3268e944239,ORD00032,SET_25f934bf-9bb9-4155-9275-eb9414aeaf5c,MATCHED,none,32806.39,32806.39,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,ORD00033,"SET_9fd34579-4667-42ce-a04e-178c10d08d11, SET_DUP_46707cd6-4ced-4164-a9df-14e9389641dd",EXCEPTION,duplicate_settlement,45735.92,,,1.0,"Multiple settlements found: SET_9fd34579-4667-42ce-a04e-178c10d08d11, SET_DUP_46707cd6-4ced-4164-a9df-14e9389641dd"
pay_ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,ORD00034,SET_b64fa54a-8c61-4654-95da-75c1a21150f9,MATCHED,none,13317.52,13317.52,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,ORD00035,SET_98eeac2b-fe9f-4caa-a182-f347533f5a72,MATCHED,none,28112.27,28112.27,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_9132b63e-f162-47e4-a9c3-49e03602f8ac,ORD00036,SET_816bcb9f-7426-4193-8b7e-6b3c87d292a6,MATCHED,none,29270.84,29270.84,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_366eb16f-508e-4ad7-b7c9-3acfe059a0ee,ORD00037,SET_cb08587d-1963-426d-ae21-8b099afd4015,MATCHED,none,18163.62,18163.62,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_e27a984d-6548-41d0-bfcd-9eb1a7cad415,ORD00038,SET_a79b44b6-da50-4fed-9d4a-3d81b3a7d0e0,MATCHED,none,24726.44,24726.44,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_24933b83-7577-40a9-a491-f0b2ea1fca65,ORD00039,SET_8d244e3e-c4da-4ddb-a0b1-5abaa6a27967,MATCHED,none,5571.49,5571.49,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_beb79919-3f22-4af8-a3be-d01d43cf2fde,ORD00040,SET_6e191042-370b-4063-9d90-e79eb888f6ed,MATCHED,none,34056.01,34056.01,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_bf3c4c06-4343-48bc-89fa-6a688fb5d27b,ORD00041,"SET_69efafb1-3a7e-4e14-a359-eee173991a47, SET_86cac6f4-e238-4e93-bd17-c5e8d5ca69ab",EXCEPTION,duplicate_settlement,19299.89,,,1.0,"Multiple settlements found: SET_69efafb1-3a7e-4e14-a359-eee173991a47, SET_86cac6f4-e238-4e93-bd17-c5e8d5ca69ab"
pay_956269f0-e5d7-4875-adad-d6c795a76d79,ORD00042,SET_66132e69-7418-4109-93d1-bf0f56c438e4,MATCHED,none,26502.81,26502.81,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_ff50bde4-3825-47b8-9cab-cc97663f1c97,ORD00043,SET_50032b35-1857-4baf-bac7-e2b96a7e4c36,MATCHED,none,47127.3,47127.3,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_7e570ddf-8270-40a8-a369-b584ff5e9ff0,ORD00044,SET_4140752c-aa44-4259-9001-8b7b6d4067f4,MATCHED,none,44250.94,44250.94,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_dc713d96-0c0f-4195-817a-f08a1745d6d8,ORD00045,SET_afd380c4-2713-482c-b41e-a3ac5fd23109,MATCHED,none,32083.99,32083.99,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_28f49481-a0a0-4dc4-a720-9bdf1c11f735,ORD00046,,EXCEPTION,missing_settlement,21794.79,,,1.0,No settlement record was found for this payment.
pay_98ae4334-6c12-4ce8-ae34-0454cac5b68c,ORD00047,"SET_6e8f75a1-17dd-4d81-95da-705cd4ef00aa, SET_DUP_97777f10-f2d2-493f-8e85-140d0f9aeb70",EXCEPTION,duplicate_settlement,47695.41,,,1.0,"Multiple settlements found: SET_6e8f75a1-17dd-4d81-95da-705cd4ef00aa, SET_DUP_97777f10-f2d2-493f-8e85-140d0f9aeb70"
pay_988c24c9-61b1-4d22-a280-1c4510435a10,ORD00048,SET_5f65c8ce-bd21-4c11-be9d-61ee18b87245,MATCHED,none,25079.25,25079.25,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_405cacec-8774-49a9-b7d2-1e02ff01cf99,ORD00049,SET_0f5ae9d3-8e6e-4003-a14f-3f12cfd01cbd,MATCHED,none,45640.13,45640.13,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_f143262f-dc5c-4eed-8da0-365bf89897b9,ORD00050,"SET_8fca7b6a-8fc4-4092-b4e5-59e596229348, SET_DUP_2cd58759-e95d-4761-bc36-dc59e134edfc",EXCEPTION,duplicate_settlement,31983.58,,,1.0,"Multiple settlements found: SET_8fca7b6a-8fc4-4092-b4e5-59e596229348, SET_DUP_2cd58759-e95d-4761-bc36-dc59e134edfc"
pay_1d53434b-b881-49b9-ae27-0da702f06b90,ORD00051,,EXCEPTION,missing_settlement,7726.68,,,1.0,No settlement record was found for this payment.
pay_c0398710-8976-4334-a281-7efdae849217,ORD00052,SET_f0ede303-aa53-419c-9fa4-bb9f5a856750,MATCHED,none,47679.64,47679.64,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_5715bd6f-a416-4293-84c2-e2e3444ea7c8,ORD00053,SET_ea74bb18-de3b-496f-ac45-96f6c012a0ff,MATCHED,none,128.54,128.54,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_287d06ca-6f4c-469a-8b22-d3081c8eaee9,ORD00054,SET_49a214ae-f7e8-48e5-8d2b-91efb8976ec5,MATCHED,none,1071.89,1071.89,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_b8db0672-f42d-47cc-80d4-af5974273ca3,ORD00055,SET_1a85910d-5a05-4c11-8ffc-a6b199b479d4,MATCHED,none,49267.54,49267.54,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_f8cda88b-436d-46e2-b83c-fe0be037e5ed,ORD00056,SET_279c658a-3676-4ce5-81e5-c9f693f277cc,MATCHED,none,2990.47,2990.47,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_81f76d1c-2dbc-4134-830f-f46e8026695f,ORD00057,SET_d8e7012f-3968-4c81-bb70-c3b8a81fdec3,EXCEPTION,settlement_delay,4029.98,4029.98,0.0,1.0,Settlement occurred 10 days after payment.
pay_a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,ORD00058,SET_8e676a01-d86a-4460-99a1-120e1bb43332,MATCHED,none,3553.7,3553.7,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_81f631d4-a392-41a7-9777-a4774c66e0a8,ORD00059,SET_47503f1d-c33a-4f6c-9d69-1fba5e187b24,MATCHED,none,6375.45,6375.45,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_5fb8d16c-2720-497d-b2eb-d6899be578c7,ORD00060,"SET_6dda4f8d-cea6-4f4c-b9e5-8ff092f837d4, SET_DUP_8e4c3ab5-6d5d-4477-adc2-9178a0411612",EXCEPTION,duplicate_settlement,27535.2,,,1.0,"Multiple settlements found: SET_6dda4f8d-cea6-4f4c-b9e5-8ff092f837d4, SET_DUP_8e4c3ab5-6d5d-4477-adc2-9178a0411612"
pay_f4188f3f-8a14-4e62-a95b-4715c333e861,ORD00061,,EXCEPTION,missing_settlement,43634.41,,,1.0,No settlement record was found for this payment.
pay_eb2263dd-87c5-421e-ac24-a3c5c754108f,ORD00062,SET_accb461a-9d13-4363-9f29-4a8bd1846c39,MATCHED,none,10668.73,10668.73,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_7d154385-52fb-443b-9954-6eb400257ad1,ORD00063,SET_9be71737-06b8-4231-8e86-7f3ca487eeab,MATCHED,none,36523.56,36523.56,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,ORD00064,SET_b18753e6-d457-4ad9-a867-a096edd877c8,MATCHED,none,15654.64,15654.64,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,ORD00065,SET_45f50c52-2e2f-4f77-8769-79d644777442,MATCHED,none,44990.74,44990.74,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,ORD00066,SET_ebe9e207-4f19-4ec0-832d-4526b3e4110a,MATCHED,none,12470.49,12470.49,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_14296c07-f26b-4776-913e-4de2e0c53cb8,ORD00067,SET_2e709838-0190-4620-99dc-abd056febfb9,MATCHED,none,1149.61,1149.61,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,ORD00068,SET_a847bce7-90fa-4b57-a4ac-2130deaf528d,MATCHED,none,29463.16,29463.16,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_885f6e66-c2b6-42c5-ba5d-310011b7e948,ORD00069,SET_bdb025ff-2451-45a4-91d0-59b26699cd99,MATCHED,none,35421.26,35421.26,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_a8e56e0c-20de-435d-a031-d750c40db9b4,ORD00070,SET_177d6e7e-07d9-44ce-b8c8-8faea2178f84,MATCHED,none,3463.28,3463.28,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,ORD00071,"SET_604e46cb-3712-42d1-87cd-b6a1bf012e32, SET_a21b0307-82af-485c-938d-994c2b0abedd",EXCEPTION,duplicate_settlement,16588.38,,,1.0,"Multiple settlements found: SET_604e46cb-3712-42d1-87cd-b6a1bf012e32, SET_a21b0307-82af-485c-938d-994c2b0abedd"
pay_9b49bd26-df57-459a-8715-a10343dac043,ORD00072,SET_284bf962-5744-4596-b422-21676b7a2460,MATCHED,none,13996.02,13996.02,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_edcd465e-3638-4821-b6e0-7cc06c52c49f,ORD00073,SET_530ac1c7-b8ba-4368-8fc7-77685ebbcca5,MATCHED,none,27007.77,27007.77,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_b09b2a5c-badc-432a-8159-0f538a0f4efb,ORD00074,SET_98a21f1c-914d-4fae-b100-13a7c6deb2f0,MATCHED,none,23686.28,23686.28,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_66245bfa-4fcc-439a-b683-d2e6337ea2df,ORD00075,,EXCEPTION,missing_settlement,20412.29,,,1.0,No settlement record was found for this payment.
pay_5f987c71-a65e-488e-abf3-ad39fec21bbe,ORD00076,SET_0cbd3c03-9e2a-44ac-8122-b5b3284c03d2,MATCHED,none,32983.24,32983.24,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_7394988f-847f-49b4-a64d-1bcb702753a1,ORD00077,SET_716fda0a-45a8-4829-94e2-86e5ac8936bc,MATCHED,none,20614.0,20614.0,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_1064005c-3985-43cf-bf76-be1d1efa2197,ORD00078,SET_9b69554d-7c54-435f-ac8c-3b6aa974d079,MATCHED,none,32707.43,32707.43,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_8dcdcd03-969b-4662-8562-8059568cc69b,ORD00079,,EXCEPTION,missing_settlement,20190.8,,,1.0,No settlement record was found for this payment.
pay_01d74256-3860-4ab6-96a4-02f23ae8cc93,ORD00080,SET_585d3f86-1d23-44e6-8329-20b7c143f426,MATCHED,none,43097.46,43097.46,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_0f1259e0-a18f-46b6-b535-106e122c9a56,ORD00081,,EXCEPTION,missing_settlement,9591.42,,,1.0,No settlement record was found for this payment.
pay_080aadfb-e7c9-4b26-9141-25c63a9bedd4,ORD00082,SET_86e52753-7c93-46cc-97d7-a560adb14670,MATCHED,none,21151.89,21151.89,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_839fbc50-1223-4513-9496-f63cdc1110c1,ORD00083,SET_3873e57f-0ba0-48e8-8ef4-92c1aac93316,MATCHED,none,12565.34,12565.34,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_7c441fe7-ab42-40a7-874a-493b3ceddf2d,ORD00084,SET_0e0630cd-996d-4c50-bc04-a168652ffb49,MATCHED,none,40420.31,40420.31,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_b92da22b-21df-406f-8a0b-3c3336d8393a,ORD00085,SET_f200c261-4d29-41ab-b455-12f701f7c7ec,MATCHED,none,2624.36,2624.36,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_93829b43-922f-415a-a1e3-db63ef7ddc76,ORD00086,SET_c3a00c6f-2321-41e1-8471-04c036136e15,MATCHED,none,836.42,836.42,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_7914c120-c8dc-419f-be35-11287900f7f9,ORD00087,SET_1eb74b56-53ff-43a2-8a19-35014169b9fc,MATCHED,none,37702.92,37702.92,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_1825bc54-30be-445f-a835-14f2ceb81f9d,ORD00088,SET_6e3f683a-bf3c-4140-bf54-a51101fa964e,MATCHED,none,20380.06,20380.06,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,ORD00089,SET_88575117-6155-4667-a112-507c2cfa55b0,MATCHED,none,43246.05,43246.05,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_dd2467ac-778e-4db3-a93d-ffbc6c6fa611,ORD00090,SET_8f0881ee-8011-416b-bae8-8926b423ccde,MATCHED,none,19010.76,19010.76,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_a748dbcf-ac61-4e63-8dde-29a6baa4b71a,ORD00091,SET_5aaab32f-ce63-42b6-ab05-347fd556b37d,MATCHED,none,46333.25,46333.25,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_0f844fef-1931-49ee-a56c-0941fbf24050,ORD00092,SET_bdf66ba5-dc9c-46de-a5a6-74c212738a23,MATCHED,none,21208.07,21208.07,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_ccf3a171-56dc-4907-ba6c-34ab6712303a,ORD00093,,EXCEPTION,missing_settlement,35948.57,,,1.0,No settlement record was found for this payment.
pay_310c0c00-3fa7-4104-9bf9-0e27dc96925e,ORD00094,SET_5024bdc6-dcb3-4df3-93ee-cdc6ebd14d2c,MATCHED,none,14905.72,14905.72,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_23e2fcb4-72d8-467d-894a-05e430b187ef,ORD00095,"SET_67884209-92ca-425a-ade5-93329364f3d0, SET_9d66e815-5a41-43b3-a95f-176cdebac186",EXCEPTION,duplicate_settlement,36813.29,,,1.0,"Multiple settlements found: SET_67884209-92ca-425a-ade5-93329364f3d0, SET_9d66e815-5a41-43b3-a95f-176cdebac186"
pay_766ecb15-474e-4c19-aef9-12766c006f61,ORD00096,SET_4a1dab32-6aed-4dc7-a3e0-5309b5a1b949,MATCHED,none,15748.88,15748.88,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_134c6c92-ec5b-427c-9fde-4fbf3ff350bf,ORD00097,SET_f758dce2-0556-4aea-a7b0-32831d7c0098,MATCHED,none,23891.75,23891.75,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_db20a56e-dc81-4fe7-8eda-8bbb71710434,ORD00098,,EXCEPTION,missing_settlement,2938.29,,,1.0,No settlement record was found for this payment.
pay_a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,ORD00099,SET_b08a4895-d4ff-4666-b5c8-e90d9e3d750d,MATCHED,none,42581.99,42581.99,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_03c72ba8-d605-4770-8a63-f881ffd0f9d5,ORD00100,SET_6fcc57dd-168f-4e12-9ca2-60c9eb7607c9,MATCHED,none,3491.25,3491.25,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_c0e9ab30-ed26-42e9-97e0-11b7f8102383,ORD00101,SET_6f887f28-3e49-4d09-9b19-d8b8d8302081,MATCHED,none,6082.34,6082.34,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_680ac07a-2a93-4d62-bc83-5dc0d9441fa5,ORD00102,SET_1422373f-8622-48d1-a683-e10796c044d0,MATCHED,none,28988.06,28988.06,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,ORD00103,SET_beed10b6-4f6e-474b-9eda-b0276550f74a,MATCHED,none,4190.97,4190.97,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_2a25a888-0f02-4ad0-a706-7ef466aa9385,ORD00104,SET_c77444cb-5543-4c3c-b8b8-f24e56ea57b3,MATCHED,none,26186.86,26186.86,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_63f2ae24-fc3d-4348-808d-4127610461e3,ORD00105,,EXCEPTION,missing_settlement,33519.33,,,1.0,No settlement record was found for this payment.
pay_c8fe3ccd-c8b8-49c6-ad30-49cf43e458fc,ORD00106,SET_31a3ac4d-828c-47e7-87d5-b7be1d30d990,MATCHED,none,13354.16,13354.16,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_b253d218-6c4a-47ea-8906-17f2747b6dba,ORD00107,,EXCEPTION,missing_settlement,32310.49,,,1.0,No settlement record was found for this payment.
pay_c88a618e-fed4-457d-bb02-6576f512c4c3,ORD00108,SET_a53bc024-d1a6-4d87-b54e-2019ba35844e,MATCHED,none,46458.01,46458.01,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_7c967f79-b7e9-4aca-a970-65e18e46d534,ORD00109,,EXCEPTION,missing_settlement,22968.45,,,1.0,No settlement record was found for this payment.
pay_37bb3eec-4bf5-4b52-b09d-258c27a0c3d7,ORD00110,SET_2c6a6e9a-3280-47a1-8187-222b257d5e52,MATCHED,none,3755.71,3755.71,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_bc594585-9445-48c0-8ef8-c2d6f7fd5646,ORD00111,SET_c257cf73-c29d-482b-a722-796e9a36d1ec,MATCHED,none,13333.5,13333.5,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_504867ba-bf7b-439b-8f9a-ea4b8acd4e10,ORD00112,SET_f387e1bd-2d59-42c6-934a-5a2fa7cf705c,MATCHED,none,3532.69,3532.69,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_7a0ecfea-958c-49ba-8cd6-20c20ea2622b,ORD00113,SET_76c5a0dc-7e7e-4419-a0c1-4035c5d95f51,MATCHED,none,14320.87,14320.87,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_87f7e1fb-da4b-49ca-ab5c-f46780bacd64,ORD00114,,EXCEPTION,missing_settlement,27206.58,,,1.0,No settlement record was found for this payment.
pay_82010c62-f5f5-4b22-8e8f-a8e0284d82e5,ORD00115,SET_e1cde87f-ec95-4f87-ae5e-c36572eb7474,MATCHED,none,49194.28,49194.28,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_118a9d29-2f92-4996-99f1-95d014822f53,ORD00116,SET_fc8d5b93-a2a2-491f-a49b-1cd99082889b,EXCEPTION,settlement_delay,33426.37,33426.37,0.0,1.0,Settlement occurred 10 days after payment.
pay_dca02eec-acda-4acc-9165-e21098543881,ORD00117,,EXCEPTION,missing_settlement,46594.63,,,1.0,No settlement record was found for this payment.
pay_f10c718b-1eb0-438a-a75d-d5af3c365296,ORD00118,SET_70944bdb-26a5-44e3-90ee-7a92a09151e0,MATCHED,none,43918.54,43918.54,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_94340a03-3f07-4814-91d6-3f78e3e9de99,ORD00119,SET_a1a27485-7134-4c2a-b80b-3657117b355b,MATCHED,none,44496.66,44496.66,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
pay_14fcdd54-9e8f-4965-8a2c-827e98326856,ORD00120,SET_97674900-4651-4367-8bdc-43184d85a3d2,MATCHED,none,13690.18,13690.18,0.0,1.0,"Payment, order, and settlement records successfully reconciled."
